word, attempts, failed, match loop, required loop, allowed loop
smoke, 7259, 56, 1460004, 103189, 4017994
morph, 7268, 56, 1814633, 133761, 4669276
scene, 7271, 56, 1373807, 68103, 3741416
spree, 7273, 56, 1499520, 101679, 4220781
sheik, 7279, 56, 1540646, 88546, 4012714
shack, 7319, 56, 1279282, 69010, 3274198
thong, 7323, 56, 1681607, 103648, 4403878
flown, 7420, 56, 1759191, 134158, 4717713
shove, 7452, 56, 1518246, 107549, 4043379
lymph, 7510, 56, 1645481, 144638, 4577118
skulk, 7562, 56, 1427898, 91832, 3853713
stair, 6803, 57, 1548712, 83667, 4042830
pilot, 6837, 57, 1940518, 103274, 4986985
arson, 6872, 57, 2037017, 162663, 5248207
until, 6890, 57, 2075818, 108756, 5466408
laden, 6892, 57, 1859370, 66360, 4602748
sonar, 6911, 57, 1558969, 75940, 3917708
unlit, 6927, 57, 2154298, 108334, 5618457
count, 6948, 57, 1972841, 105194, 5077431
boule, 6954, 57, 1916773, 72552, 4723364
panel, 6965, 57, 1827033, 73374, 4586656
glare, 6970, 57, 1823038, 63248, 4544072
trick, 6974, 57, 1688036, 86967, 4404204
bloat, 6976, 57, 1778888, 84037, 4594863
tulip, 6990, 57, 1855834, 122579, 4870874
decal, 6993, 57, 1622029, 55792, 4042134
south, 7000, 57, 1611148, 118091, 4151969
manor, 7007, 57, 1845685, 85888, 4559700
ranch, 7012, 57, 1712486, 104823, 4359651
pesto, 7030, 57, 1887445, 179375, 5279938
slime, 7031, 57, 1470952, 88013, 3900977
stork, 7046, 57, 1565909, 102640, 4210334
