word, attempts, failed, match loop, required loop, allowed loop
petal, 6845, 54, 4928736, 81754, 7810604
bleat, 6854, 54, 5232525, 78619, 8135144
apron, 6912, 54, 4995286, 127809, 7981594
ascot, 6940, 54, 5333777, 140814, 8284810
blare, 6943, 54, 5238305, 58775, 7809551
penal, 6943, 54, 4923690, 69257, 7596874
blond, 6952, 54, 4790154, 69214, 7379508
boast, 6964, 54, 5660126, 136547, 8836216
nicer, 6974, 54, 4768332, 91216, 7810589
spout, 7001, 54, 5330857, 146738, 8172159
faint, 7005, 54, 5073377, 86037, 7937336
nurse, 7023, 54, 4796119, 154133, 8511522
lunch, 7026, 54, 4850395, 119832, 7678566
bugle, 7031, 54, 4793988, 79124, 7457852
prawn, 7036, 54, 5026628, 119703, 7875851
steak, 7057, 54, 5389153, 81120, 7844423
birth, 7060, 54, 4772063, 96139, 7630995
forte, 7061, 54, 4776819, 88345, 7935017
limbo, 7083, 54, 4829083, 100193, 7259992
safer, 7083, 54, 5680505, 75844, 7908153
pitch, 7089, 54, 5031887, 146843, 8001590
guilt, 7091, 54, 4803315, 81979, 7803681
bland, 7107, 54, 5351861, 61754, 7737122
scary, 7120, 54, 5775778, 76565, 8102592
sword, 7129, 54, 5430254, 113012, 7895862
clown, 7136, 54, 4938396, 127529, 7954244
anime, 7137, 54, 5112613, 76858, 7857262
fiber, 7142, 54, 4831617, 58899, 7264898
randy, 7151, 54, 5111072, 71232, 7885144
amend, 7184, 54, 5108893, 93076, 7761469
boost, 7212, 54, 5319533, 112321, 8350686
prism, 7221, 54, 5150381, 234916, 8520588
hyena, 7233, 54, 5015475, 79293, 8012322
plume, 7242, 54, 4837790, 108711, 7656931
flame, 7249, 54, 5127749, 67595, 7623040
vapor, 7254, 54, 5074523, 110280, 8004852
scree, 7263, 54, 5576346, 84547, 8045479
flush, 7271, 54, 5180267, 157480, 8068559
house, 7277, 54, 5120152, 129709, 8577325
butch, 7281, 54, 5261393, 102079, 7856904
adapt, 7300, 54, 5366830, 138327, 8453028
ethos, 7344, 54, 5085783, 168621, 8516853
pushy, 7490, 54, 5253132, 163448, 8378404
skunk, 7551, 54, 5459072, 90905, 7916821
swoop, 7750, 54, 5857311, 165021, 8543794
stare, 6701, 55, 5295296, 74535, 7856776
dealt, 6713, 55, 4922893, 74387, 7816322
roast, 6822, 55, 5288194, 155381, 8572203
taper, 6838, 55, 5115776, 93555, 8017986
shorn, 6893, 55, 5112519, 107473, 7685478
bilge, 6931, 55, 4789641, 65442, 7424350
pedal, 6936, 55, 5035099, 63586, 7527494
stead, 6944, 55, 5463895, 79008, 7824920
plier, 6954, 55, 4679537, 89634, 7697040
suite, 6978, 55, 5329038, 92870, 8032283
float, 6982, 55, 4997564, 78174, 7677598
smile, 6988, 55, 5248407, 86781, 7775336
first, 6991, 55, 4971698, 186391, 8401457
stray, 6991, 55, 5458199, 85443, 8120648
chart, 6994, 55, 5172689, 109320, 8113526
poser, 7072, 55, 4996567, 131067, 8166360
stoic, 7073, 55, 5504319, 95809, 7843512
surge, 7093, 55, 5369468, 96230, 7888981
pansy, 7118, 55, 5331603, 147899, 8512418
bleak, 7145, 55, 5347012, 68249, 7946390
savor, 7167, 55, 5688696, 88861, 8039804
rusty, 7175, 55, 5082407, 157398, 8612212
filth, 7186, 55, 4762100, 110628, 7603367
tease, 7222, 55, 5710867, 127268, 9048193
snack, 7230, 55, 5736331, 71981, 7770068
brawl, 7245, 55, 5441203, 100442, 8204073
pasta, 7298, 55, 5520303, 180580, 8748967
minus, 7310, 55, 5093942, 179148, 8372427
swami, 7311, 55, 5735602, 122136, 7994479
viper, 7330, 55, 4756318, 112722, 7983050
dusty, 7340, 55, 5167531, 146900, 8718916
spiky, 7340, 55, 5338129, 96120, 7951497
graph, 7351, 55, 5134480, 104186, 7834851
sheet, 7374, 55, 5575706, 90908, 8170012
thyme, 7380, 55, 5119217, 102985, 8150623
imply, 7462, 55, 4855608, 130837, 8063509
snoop, 7463, 55, 5568382, 138450, 8171860
twist, 7541, 55, 5554430, 186015, 8952660
shook, 7674, 55, 5553770, 112042, 7979492
train, 6798, 56, 4992842, 71665, 7709821
crate, 6812, 56, 5091094, 69615, 7922051
rinse, 6876, 56, 4859603, 148830, 8366304
cable, 6924, 56, 5774705, 56477, 8175084
truce, 6939, 56, 5100452, 88755, 7962096
artsy, 6950, 56, 5389283, 168523, 9070447
cadet, 6973, 56, 5267131, 66189, 7847447
pinto, 6978, 56, 4691395, 125315, 7870267
adult, 7004, 56, 5139180, 108326, 7997612
filet, 7026, 56, 4755217, 89384, 7812432
perch, 7031, 56, 5006226, 133247, 7785850
moult, 7043, 56, 4782943, 93615, 7742853
fibre, 7055, 56, 4783250, 70671, 7331147
canoe, 7070, 56, 5279554, 58361, 7895139
bused, 7072, 56, 5213840, 117611, 8205382
haunt, 7078, 56, 5001173, 98976, 8174083
bison, 7095, 56, 5073229, 157961, 8225527
faith, 7103, 56, 5074531, 96330, 7887191
truly, 7106, 56, 4905886, 79020, 7817402
midst, 7114, 56, 5131566, 174616, 8487406
throb, 7117, 56, 5035524, 94671, 7516266
hasty, 7118, 56, 5282059, 154330, 8832489
frond, 7124, 56, 4738641, 92070, 7428518
